network,subject,time,value
Visual,sub01,0,-0.030641997717704688
Visual,sub01,1,0.06928059241503197
Visual,sub01,2,0.23131176097405654
Visual,sub01,3,0.06729507698638237
Visual,sub01,4,-0.07126665336777102
Visual,sub01,5,0.03954629441860808
Visual,sub01,6,-0.14831114530723175
Visual,sub01,7,-0.0039525897535566306
Visual,sub01,8,-0.06729507698638239
Visual,sub01,9,0.1716259618032958
Visual,sub01,10,0.24385160317256815
Visual,sub01,11,0.028663974233901088
Visual,sub01,12,-0.21056776593251306
Visual,sub01,13,0.19000086001948652
Visual,sub01,14,0.17671808591996313
Visual,sub01,15,0.197180368686965
Visual,sub01,16,-0.05142869271985385
Visual,sub01,17,0.08916838307813302
Visual,sub01,18,-0.20541021235878926
Visual,sub01,19,0.01086999331820302
Visual,sub01,20,0.21263386770217213
Visual,sub01,21,0.11613192293740335
Visual,sub01,22,-0.08916838307813296
Visual,sub01,23,-0.023719862535780286
Visual,sub01,24,0.26810183544986094
Visual,sub01,25,0.29804848101787357
Visual,sub01,26,0.1716259618032958
Visual,sub01,27,0.25541281188299536
Visual,sub01,28,0.11012684856505262
Visual,sub01,29,-0.10812693482758721
Visual,sub01,30,-0.11513050954153685
Visual,sub01,31,0.0
Visual,sub01,32,0.40172377584682856
Visual,sub01,33,0.09714236142611495
Visual,sub01,34,0.08717669357238877
Visual,sub01,35,0.43689473791709
Visual,sub01,36,-0.06928059241503193
Visual,sub01,37,0.03459877941387705
Visual,sub01,38,0.1716259618032958
Visual,sub01,39,0.13520524297156022
Visual,sub01,40,0.214701759523174
Visual,sub01,41,0.047466446247783546
Visual,sub01,42,0.23757251437307714
Visual,sub01,43,0.08618110844559812
Visual,sub01,44,0.13017701892931563
Visual,sub01,45,0.11312837019871802
Visual,sub01,46,0.0464761221312103
Visual,sub01,47,0.15437685684438807
Visual,sub01,48,0.47066340501774
Visual,sub01,49,-0.15842690805301915
Visual,sub01,50,-0.2043800020025084
Visual,sub01,51,-0.09315389573089482
Visual,sub01,52,-0.022731187038378644
Visual,sub01,53,0.12314842814446322
Visual,sub01,54,-0.20541021235878926
Visual,sub01,55,-0.07027355370780547
Visual,sub01,56,-0.03163109838898325
Visual,sub01,57,-0.01976541937831766
Visual,sub01,58,-0.1645117063041112
Visual,sub01,59,0.07722826849717335
Visual,sub01,60,-0.058366583396773294
Visual,sub01,61,-0.06630251888219592
Visual,sub01,62,0.054401429924399586
Visual,sub01,63,-0.001976287157911679
Visual,sub01,64,-0.25014960538950154
Visual,sub01,65,-0.20953538008197153
Visual,sub01,66,0.4121730166045007
Visual,sub01,67,0.12013991677859855
Visual,sub01,68,0.13118213223374553
Visual,sub01,69,0.2480481337598973
Visual,sub01,70,0.10013572700779322
Visual,sub01,71,0.11513050954153685
Visual,sub01,72,0.16654263659009858
Visual,sub01,73,-0.19923531700264083
Visual,sub01,74,-0.14124811770970783
Visual,sub01,75,0.4345189235118048
Visual,sub01,76,-0.26916301736685966
Visual,sub01,77,0.41450662204608124
Visual,sub01,78,0.40288066246453974
Visual,sub01,79,0.14124811770970777
Visual,sub01,80,-0.04548588910286332
Visual,sub01,81,0.29804848101787357
Visual,sub02,0,-0.061341645237111796
Visual,sub02,1,-0.08817245110991394
Visual,sub02,2,-0.15640124626765411
Visual,sub02,3,-0.1402402717082781
Visual,sub02,4,-0.4891698595395513
Visual,sub02,5,0.1241517557204783
Visual,sub02,6,0.30344972692780653
Visual,sub02,7,0.254359070713213
Visual,sub02,8,0.25330588224440265
Visual,sub02,9,0.11312837019871802
Visual,sub02,10,0.24594880694023594
Visual,sub02,11,0.04449574520847171
Visual,sub02,12,0.2830133444799956
Visual,sub02,13,0.46091545612488527
Visual,sub02,14,0.10512867383603261
Visual,sub02,15,0.14528237478525274
Visual,sub02,16,-0.34398195174904445
Visual,sub02,17,-0.2564671085308749
Visual,sub02,18,-0.27341369715661745
Visual,sub02,19,0.07623429682213667
Visual,sub02,20,-0.4416603563182927
Visual,sub02,21,-0.25541281188299536
Visual,sub02,22,-0.07623429682213669
Visual,sub02,23,0.3890643823713342
Visual,sub02,24,0.009881744559419859
Visual,sub02,25,0.0841904473546876
Visual,sub02,26,0.15033182404546683
Visual,sub02,27,-0.20747192603135411
Visual,sub02,28,-0.19923531700264083
Visual,sub02,29,0.2702247915996415
Visual,sub02,30,-0.10812693482758721
Visual,sub02,31,-0.13621169574557065
Visual,sub02,32,0.04845686340792886
Visual,sub02,33,-0.1291721671045821
Visual,sub02,34,0.13520524297156022
Visual,sub02,35,0.10313088216998148
Visual,sub02,36,0.011858263308658032
Visual,sub02,37,0.20644085288160693
Visual,sub02,38,-0.04944737556808882
Visual,sub02,39,-0.33954944518686253
Visual,sub02,40,-0.37538814669829085
Visual,sub02,41,-0.33292464243979697
Visual,sub02,42,-0.2417565008176338
Visual,sub02,43,-0.2417565008176338
Visual,sub02,44,-0.5800850908337717
Visual,sub02,45,-0.5117966428940013
Visual,sub02,46,-0.3517703705436043
Visual,sub02,47,0.1221453472007993
Visual,sub02,48,0.08916838307813302
Visual,sub02,49,0.2407097309397446
Visual,sub02,50,0.04944737556808878
Visual,sub02,51,-0.2606899057223405
Visual,sub02,52,-0.19820763629412325
Visual,sub02,53,-0.11012684856505262
Visual,sub02,54,0.10013572700779322
Visual,sub02,55,0.31321567495252295
Visual,sub02,56,0.2012919274143187
Visual,sub02,57,-0.1331931518197841
Visual,sub02,58,0.23131176097405654
Visual,sub02,59,0.18284065461515797
Visual,sub02,60,-0.3362334876612035
Visual,sub02,61,-0.35400314748184764
Visual,sub02,62,0.14225624884525093
Visual,sub02,63,0.013834874709625447
Visual,sub02,64,-0.04251571700970035
Visual,sub02,65,-0.24594880694023594
Visual,sub02,66,-0.32413510657422673
Visual,sub02,67,0.2407097309397446
Visual,sub02,68,-0.05440142992439959
Visual,sub02,69,0.1716259618032958
Visual,sub02,70,-0.027675047541582478
Visual,sub02,71,-0.3384433298440826
