network,subject,time,value
Visual,sub01,0,-0.1731381183589169
Visual,sub01,1,-0.0587139925289719
Visual,sub01,2,0.23426885578161957
Visual,sub01,3,0.06022307653793353
Visual,sub01,4,-0.05720517558887211
Visual,sub01,5,-0.046650352948596846
Visual,sub01,6,-0.1132638246492251
Visual,sub01,7,0.006015110138271031
Visual,sub01,8,0.11326382464922506
Visual,sub01,9,0.0
Visual,sub01,10,0.1346423536560324
Visual,sub01,11,0.20116662731218524
Visual,sub01,12,-0.1669474578034562
Visual,sub01,13,0.02857920691997431
Visual,sub01,14,0.12699411333265406
Visual,sub01,15,0.34375668142084465
Visual,sub01,16,0.11021859485823335
Visual,sub01,17,0.0768426194067516
Visual,sub01,18,-0.3353371623539433
Visual,sub01,19,0.2295106062885632
Visual,sub01,20,0.2646574482233925
Visual,sub01,21,-0.0587139925289719
Visual,sub01,22,0.016542862292882633
Visual,sub01,23,0.01052670459891624
Visual,sub01,24,0.17778972679864774
Visual,sub01,25,0.35903176591223984
Visual,sub01,26,0.2027325540540821
Visual,sub01,27,0.31365596134715384
Visual,sub01,28,0.1423062838698099
Visual,sub01,29,-0.1576850319914738
Visual,sub01,30,-0.06928357855932239
Visual,sub01,31,0.16849391671796743
Visual,sub01,32,0.49559602002363634
Visual,sub01,33,0.006015110138271031
Visual,sub01,34,0.037611710618793766
Visual,sub01,35,0.5284697961337708
Visual,sub01,36,0.018047071817921947
Visual,sub01,37,0.025569480745593707
Visual,sub01,38,0.37792288738775465
Visual,sub01,39,0.18400377278663188
Visual,sub01,40,0.2566161818982779
Visual,sub01,41,0.04363669858334122
Visual,sub01,42,0.10109488000533993
Visual,sub01,43,0.037611710618793766
Visual,sub01,44,0.1700411744226563
Visual,sub01,45,-0.04514342333605019
Visual,sub01,46,-0.10109488000533996
Visual,sub01,47,0.057205175588872156
Visual,sub01,48,0.3953227725224114
Visual,sub01,49,-0.20429946226216797
Visual,sub01,50,-0.19179119842932832
Visual,sub01,51,0.06626222229932435
Visual,sub01,52,0.18089502230275134
Visual,sub01,53,0.253408801184226
Visual,sub01,54,-0.1423062838698098
Visual,sub01,55,-0.04363669858334119
Visual,sub01,56,0.019551363006871304
Visual,sub01,57,0.05268025782891307
Visual,sub01,58,-0.11478722082225012
Visual,sub01,59,0.15768503199147377
Visual,sub01,60,-0.11936062262803965
Visual,sub01,61,-0.015038727618638918
Visual,sub01,62,0.07835545233170449
Visual,sub01,63,0.15614394162699055
Visual,sub01,64,-0.35222336790693937
Visual,sub01,65,-0.09805743946314525
Visual,sub01,66,0.4041082551723662
Visual,sub01,67,0.24860726246197598
Visual,sub01,68,0.4711124859045695
Visual,sub01,69,0.34375668142084465
Visual,sub01,70,0.09502180144393244
Visual,sub01,71,0.23109554475447092
Visual,sub01,72,0.13158122763873123
Visual,sub01,73,-0.1607694502041151
Visual,sub01,74,-0.08895570315820094
Visual,sub01,75,0.33869941179590296
Visual,sub01,76,-0.08895570315820094
Visual,sub01,77,0.6232451651584694
Visual,sub01,78,0.5624249594424834
Visual,sub01,79,0.1607694502041151
Visual,sub01,80,-0.14691256848274742
Visual,sub01,81,0.09653939873672521
Visual,sub02,0,-0.012030655580058603
Visual,sub02,1,-0.12699411333265406
