network,subject,time,value
Visual,sub01,0,-0.4321324786060921
Visual,sub01,1,-0.06515934384081416
Visual,sub01,2,0.024345260715562967
Visual,sub01,3,-0.3501514376359226
Visual,sub01,4,-0.28139392205553965
Visual,sub01,5,-0.20919881163006768
Visual,sub01,6,-0.10420406503981558
Visual,sub01,7,0.3657589065365198
Visual,sub01,8,0.2419606987119783
Visual,sub01,9,0.3199949421487879
Visual,sub01,10,0.30607810037220534
Visual,sub01,11,0.5835485427661681
Visual,sub01,12,0.10244919550745876
Visual,sub01,13,-0.41935997252981405
Visual,sub01,14,-0.32009069869740625
Visual,sub01,15,-7.430010592645586e-05
Visual,sub01,16,-0.22788860790890694
Visual,sub01,17,-0.217464288166405
Visual,sub01,18,0.31032986886483643
Visual,sub01,19,0.17674883678230857
Visual,sub01,20,-0.08536614746158666
Visual,sub01,21,-0.03380952412981403
Visual,sub01,22,-0.39028879981815473
Visual,sub01,23,-0.7673884020114746
Visual,sub01,24,-0.4196429539297221
Visual,sub01,25,-0.09969687662577509
Visual,sub01,26,-0.24595021436881442
Visual,sub01,27,-0.08535101503103962
Visual,sub01,28,0.1771723991996112
Visual,sub01,29,-0.0698769060212146
Visual,sub01,30,-0.7303369657617924
Visual,sub01,31,-0.8983871488203956
Visual,sub01,32,-0.6155649628116803
Visual,sub01,33,-0.4375311778800902
Visual,sub01,34,-0.3881762203614163
Visual,sub01,35,-0.9380863816623078
Visual,sub01,36,-0.5975037808255692
Visual,sub01,37,-0.9035581983567275
Visual,sub01,38,-0.640631125774625
Visual,sub01,39,-0.1527947231409037
Visual,sub01,40,-0.8742344673975655
Visual,sub01,41,-0.7445086120033085
Visual,sub01,42,-0.5775219851550946
Visual,sub01,43,-1.0897263509956279
Visual,sub01,44,-0.8314265766499437
Visual,sub01,45,-0.6230383627395724
Visual,sub01,46,-1.2014961587960113
Visual,sub01,47,-1.1259492260690114
Visual,sub01,48,-0.5836468712138423
Visual,sub01,49,-0.35805329455305834
Visual,sub01,50,-0.3428548732600006
Visual,sub01,51,-0.12739967346510364
Visual,sub01,52,0.05763084925785742
Visual,sub01,53,0.07705224196551863
Visual,sub01,54,0.21200894695775285
Visual,sub01,55,-0.3524725427153376
Visual,sub01,56,-0.30101515488335495
Visual,sub01,57,-0.00018359229441897718
Visual,sub01,58,-0.36598451195528614
Visual,sub01,59,-0.6078459422464844
Visual,sub01,60,0.45734928965988253
Visual,sub01,61,0.3060942947829016
Visual,sub01,62,-0.1569155801712336
Visual,sub01,63,0.17247606423661221
Visual,sub01,64,0.3213580140471378
Visual,sub01,65,0.05661922980456148
Visual,sub01,66,-0.17860119443902542
Visual,sub01,67,0.20272281568800463
Visual,sub01,68,0.3670962361821278
Visual,sub01,69,-0.22684769156147047
Visual,sub01,70,-0.19321238711504024
Visual,sub01,71,-0.09413392741828827
Visual,sub01,72,0.17601807085188353
Visual,sub01,73,0.20263306241766577
Visual,sub01,74,0.3153165632953131
Visual,sub01,75,0.2251805380650575
Visual,sub01,76,0.22342792337941084
Visual,sub01,77,0.19394260629151885
Visual,sub01,78,-0.14851513851313122
Visual,sub01,79,0.3860820299036011
Visual,sub01,80,-0.03101504540829711
Visual,sub01,81,-0.12067616121018951
Visual,sub02,0,-0.012167229076608421
Visual,sub02,1,0.2208328387985769
Visual,sub02,2,-0.11625085230733027
Visual,sub02,3,0.17538035586095582
Visual,sub02,4,-0.2616511484400207
Visual,sub02,5,-0.062450160395322175
Visual,sub02,6,-0.19979475183070677
Visual,sub02,7,-0.28112164802913286
Visual,sub02,8,-0.25622222038541553
Visual,sub02,9,-0.579003576043544
Visual,sub02,10,-0.035643694295076835
Visual,sub02,11,-0.1370697361708093
Visual,sub02,12,-0.21045515172051057
Visual,sub02,13,-0.12335518788102413
Visual,sub02,14,0.07008643614095345
Visual,sub02,15,-0.29314038813221494
Visual,sub02,16,-0.08421549507304198
Visual,sub02,17,0.24890099117514283
Visual,sub02,18,0.1273981835668096
Visual,sub02,19,0.11728996865983092
Visual,sub02,20,0.5373369254074631
Visual,sub02,21,0.214916008955651
Visual,sub02,22,-0.003418852013379936
Visual,sub02,23,0.2902681167758073
Visual,sub02,24,-0.21602496444035163
Visual,sub02,25,0.33140574428977587
Visual,sub02,26,0.16997574263372422
Visual,sub02,27,0.48020695991700235
Visual,sub02,28,-0.01375340475345238
Visual,sub02,29,0.16678485174386154
Visual,sub02,30,0.14310894210755115
Visual,sub02,31,0.09810081839104398
Visual,sub02,32,-0.32955630949338416
Visual,sub02,33,-0.7065622575621975
Visual,sub02,34,-0.7782000996194836
Visual,sub02,35,-0.15082353139539922
Visual,sub02,36,0.09345036618762062
Visual,sub02,37,-0.12923969929222873
Visual,sub02,38,-0.2020404490157909
Visual,sub02,39,0.2393399759653443
Visual,sub02,40,-0.03242723750497249
Visual,sub02,41,0.1403971129311231
Visual,sub02,42,-0.18374339293524666
Visual,sub02,43,-0.06419738331358263
Visual,sub02,44,-0.2270038417982141
Visual,sub02,45,0.1616749948945048
Visual,sub02,46,-0.5623684624013093
Visual,sub02,47,-0.6218568604567404
Visual,sub02,48,-0.21535928256194742
Visual,sub02,49,0.22514838657066855
Visual,sub02,50,0.09816956649832705
Visual,sub02,51,0.11709867861392317
Visual,sub02,52,0.46803483206925023
Visual,sub02,53,0.3227406009439145
Visual,sub02,54,0.29302826679052507
Visual,sub02,55,0.16362493214176213
Visual,sub02,56,0.2598824008554875
Visual,sub02,57,-0.06466607132744419
Visual,sub02,58,-0.8677022122424674
Visual,sub02,59,-0.3772799159477912
Visual,sub02,60,-0.4840160286128077
Visual,sub02,61,0.448785073312875
Visual,sub02,62,0.0701690861637737
Visual,sub02,63,0.06839053202258763
Visual,sub02,64,0.18588538864299237
Visual,sub02,65,0.6424803734958832
Visual,sub02,66,0.5306275310717543
Visual,sub02,67,-0.22790907253655587
Visual,sub02,68,-0.31433355989539746
Visual,sub02,69,-0.03788507624209282
Visual,sub02,70,-0.07152226571804368
Visual,sub02,71,0.037112489770348187
Visual,sub02,72,0.2727504922529342
Visual,sub02,73,-0.026008447471118457
Visual,sub02,74,-0.45740903813183753
Visual,sub02,75,-0.34088478962355395
Visual,sub02,76,-0.009190028312652665
Visual,sub02,77,-0.2848781333094958
Visual,sub02,78,-0.06054483427425748
Visual,sub02,79,0.2900211489333034
Visual,sub02,80,-0.04875370357608369
Visual,sub02,81,0.004105549693259441
Visual,sub03,0,0.29725493754081594
Visual,sub03,1,0.2847827945905679
Visual,sub03,2,0.16537476377152824
Visual,sub03,3,-0.6769917711047612
Visual,sub03,4,-0.13694795691847234
Visual,sub03,5,0.0384840144619301
Visual,sub03,6,-0.22950878943953237
Visual,sub03,7,-0.004451654865896187
Visual,sub03,8,0.40047381372392826
Visual,sub03,9,-0.13539682357839758
Visual,sub03,10,-0.322028772735146
Visual,sub03,11,-0.31279894841201705
Visual,sub03,12,0.31799443153978796
Visual,sub03,13,0.35399490785373855
Visual,sub03,14,-0.22426244341983512
Visual,sub03,15,0.18504124302833247
Visual,sub03,16,-0.38329803511924626
Visual,sub03,17,-0.2665349533186694
Visual,sub03,18,-0.14744312544264232
Visual,sub03,19,0.0814735421301257
Visual,sub03,20,0.028651112162863958
Visual,sub03,21,-0.10342525691879842
Visual,sub03,22,-0.22171738195321647
Visual,sub03,23,0.26156417845049196
Visual,sub03,24,0.08231716037842707
Visual,sub03,25,-0.044710692567283064
Visual,sub03,26,0.23222523062981687
Visual,sub03,27,0.3658753812613379
Visual,sub03,28,0.01857954985189838
Visual,sub03,29,-0.32959031339213013
Visual,sub03,30,0.4028212886286939
Visual,sub03,31,-0.15605855788003448
Visual,sub03,32,-0.05110793404638765
Visual,sub03,33,0.03258874804784737
Visual,sub03,34,-0.2566441807197575
Visual,sub03,35,0.00957134267479215
Visual,sub03,36,0.2711752372434914
Visual,sub03,37,-0.002094925721188301
Visual,sub03,38,-0.4632150103853959
Visual,sub03,39,-0.22536212009541287
Visual,sub03,40,0.3161502831243232
Visual,sub03,41,-0.033728808718715454
Visual,sub03,42,-0.1284562891148407
Visual,sub03,43,0.2254737879820789
Visual,sub03,44,0.21786553837787098
Visual,sub03,45,-0.358368239965817
Visual,sub03,46,-0.41528050421656204
Visual,sub03,47,-0.28847869182630737
Visual,sub03,48,0.15404798377386125
Visual,sub03,49,-0.2382687867910453
Visual,sub03,50,-0.06150605322874401
Visual,sub03,51,0.2263024014861507
Visual,sub03,52,-0.19150348000155623
Visual,sub03,53,-0.63327061019876
Visual,sub03,54,-0.3532004080855787
Visual,sub03,55,0.015638985879143696
Visual,sub03,56,-0.12493069598216393
Visual,sub03,57,-0.2280048665424456
Visual,sub03,58,0.25493863819360263
Visual,sub03,59,0.18889638635778408
Visual,sub03,60,0.09616972371711127
Visual,sub03,61,0.23203004030817603
Visual,sub03,62,0.3660710006519825
Visual,sub03,63,-0.006948337810800264
Visual,sub03,64,0.049832771493257114
Visual,sub03,65,0.16881398949513654
Visual,sub03,66,-0.01679111636649605
Visual,sub03,67,0.1852036574803147
Visual,sub03,68,0.6537784131471864
Visual,sub03,69,-0.18035756391163746
Visual,sub03,70,0.1726368108704154
Visual,sub03,71,0.4311031321563378
Visual,sub03,72,0.3209578628457823
Visual,sub03,73,-0.19399179977677689
Visual,sub03,74,-0.12939504141207653
Visual,sub03,75,-0.3092858159378188
Visual,sub03,76,0.02238602567118126
Visual,sub03,77,0.034499248883278724
Visual,sub03,78,0.49079360458521465
Visual,sub03,79,0.07889449251403481
Visual,sub03,80,0.02218743543340514
Visual,sub03,81,-0.20119629053348548
Visual,sub04,0,-0.6711614076185181
Visual,sub04,1,-0.3901883393798141
Visual,sub04,2,0.12216887272447571
Visual,sub04,3,-0.4815354317240109
Visual,sub04,4,-0.7226248787676095
Visual,sub04,5,-0.503564977415172
Visual,sub04,6,-0.4828832260800289
Visual,sub04,7,-0.07819338846473534
Visual,sub04,8,-0.13440235469830558
Visual,sub04,9,-0.7666700239300659
Visual,sub04,10,-0.029167464392036935
Visual,sub04,11,-0.2580993779879333
Visual,sub04,12,-0.4041373866669479
Visual,sub04,13,-0.6143605025035997
Visual,sub04,14,0.46199491178189456
Visual,sub04,15,0.003181174498852202
Visual,sub04,16,-0.10710715203213561
Visual,sub04,17,0.1060568045842674
Visual,sub04,18,-0.167725697240048
Visual,sub04,19,-0.21440642091058731
Visual,sub04,20,0.0077161737579855005
Visual,sub04,21,0.3337733866875878
Visual,sub04,22,-0.3368474644199976
Visual,sub04,23,-0.5000034076501502
Visual,sub04,24,-0.3471760751436794
Visual,sub04,25,0.34712233676847143
Visual,sub04,26,-0.06373556730695518
Visual,sub04,27,0.2404549958593652
Visual,sub04,28,0.5010962221967968
Visual,sub04,29,0.7415121935486438
Visual,sub04,30,0.36074068554909167
Visual,sub04,31,0.4426168841685999
Visual,sub04,32,0.4122094307320584
Visual,sub04,33,0.47329533609207813
Visual,sub04,34,0.4859204555155546
Visual,sub04,35,0.3301378429163623
Visual,sub04,36,-0.1101951206581305
Visual,sub04,37,0.005815383825764675
Visual,sub04,38,0.15522920655400568
Visual,sub04,39,0.1634828897809366
Visual,sub04,40,-0.12372443719015566
Visual,sub04,41,-0.0796608537716805
Visual,sub04,42,0.06909572082420641
Visual,sub04,43,0.4596584350894757
Visual,sub04,44,0.22113410340452805
Visual,sub04,45,-0.007967799652598029
Visual,sub04,46,0.09292214694458674
Visual,sub04,47,0.33606137121472524
Visual,sub04,48,0.355072594497866
Visual,sub04,49,0.10475976326408439
Visual,sub04,50,0.22621440339309498
Visual,sub04,51,0.11142252925443501
Visual,sub04,52,0.3001229894390961
Visual,sub04,53,0.21656517257200214
Visual,sub04,54,0.17784127385363058
Visual,sub04,55,0.22323943177833022
Visual,sub04,56,0.5604372303945605
Visual,sub04,57,0.43058502188176784
Visual,sub04,58,0.8326841732051337
Visual,sub04,59,0.4509939631119767
Visual,sub04,60,-0.5000881483395991
Visual,sub04,61,-0.4021759320310042
Visual,sub04,62,0.09243998676685397
Visual,sub04,63,0.13569715015676423
Visual,sub04,64,-0.037281621980272274
Visual,sub04,65,-0.21371664303278742
Visual,sub04,66,-0.2073062389407772
Visual,sub04,67,0.2845089480995403
Visual,sub04,68,0.4318111983642451
Visual,sub04,69,0.646859515244241
Visual,sub04,70,0.06634531186012568
Visual,sub04,71,-0.10465721102260372
Visual,sub04,72,0.14996199213592684
Visual,sub04,73,0.3547627740672679
Visual,sub04,74,0.15681800318304015
Visual,sub04,75,0.38311875997310413
Visual,sub04,76,0.27080113342951917
Visual,sub04,77,0.7721055000328885
Visual,sub04,78,0.6684816473466603
Visual,sub04,79,0.6004577955695833
Visual,sub04,80,0.09652314691539673
Visual,sub04,81,0.17225734947722338
Visual,sub05,0,-0.5176288547808173
Visual,sub05,1,-0.5665525783658002
Visual,sub05,2,-0.15525476305823105
Visual,sub05,3,0.027586239509869014
Visual,sub05,4,-0.19504908716326338
Visual,sub05,5,0.22702208946821942
Visual,sub05,6,0.298625613665361
Visual,sub05,7,0.27895552733771195
Visual,sub05,8,0.046477672627571257
Visual,sub05,9,0.4280986046859108
Visual,sub05,10,0.5887703477348607
Visual,sub05,11,-0.282327662073914
Visual,sub05,12,-0.2348081482391715
Visual,sub05,13,0.37832739113433683
Visual,sub05,14,0.24168119732149185
Visual,sub05,15,-0.22482317337634558
Visual,sub05,16,-0.234030047725649
Visual,sub05,17,-0.16402859949858872
Visual,sub05,18,-0.8302744256785749
Visual,sub05,19,-0.2582193975792476
Visual,sub05,20,-0.04394879262804992
Visual,sub05,21,0.0898324002491202
Visual,sub05,22,-0.34160166859836655
Visual,sub05,23,-0.25587396913497307
Visual,sub05,24,0.22956072561373148
Visual,sub05,25,0.4566383644327664
Visual,sub05,26,0.22347737411821983
Visual,sub05,27,-0.601913145235133
Visual,sub05,28,-0.5842837460898977
Visual,sub05,29,-0.2836230431972885
Visual,sub05,30,0.02106373474333918
Visual,sub05,31,-0.08592212169425151
Visual,sub05,32,-0.4583866841267593
Visual,sub05,33,0.06409638669828972
Visual,sub05,34,0.033533755370854304
Visual,sub05,35,0.5936739437548131
Visual,sub05,36,0.12207816987875293
Visual,sub05,37,0.1677716883279761
Visual,sub05,38,0.13999567603983923
Visual,sub05,39,-0.09230935754001232
Visual,sub05,40,-0.24029847672781884
Visual,sub05,41,0.06916561963667828
Visual,sub05,42,-0.3073507934175132
Visual,sub05,43,0.2559065805569553
Visual,sub05,44,0.21288214679299103
Visual,sub05,45,-0.32995760593387746
Visual,sub05,46,-0.10818714205920583
Visual,sub05,47,-0.2658135169222754
Visual,sub05,48,-0.22041455169606455
Visual,sub05,49,-0.7262293034366138
Visual,sub05,50,-0.8995966194520649
Visual,sub05,51,0.0461121663132499
Visual,sub05,52,-0.19061435921143766
Visual,sub05,53,-0.31607588983043533
Visual,sub05,54,-0.34643250462667535
Visual,sub05,55,-0.4027157061482315
Visual,sub05,56,-0.2764014295798542
Visual,sub05,57,0.45132211154599655
Visual,sub05,58,-0.3553733949867328
Visual,sub05,59,-0.3205919787772163
Visual,sub05,60,0.031493187642295604
Visual,sub05,61,-0.34596276786277064
Visual,sub05,62,0.2598852510669366
Visual,sub05,63,-0.05816922668194955
Visual,sub05,64,-0.1852029990598183
Visual,sub05,65,-0.04957702872791596
Visual,sub05,66,0.561960856150377
Visual,sub05,67,0.02120402327680416
Visual,sub05,68,0.20552708948463252
Visual,sub05,69,0.1586760051297627
Visual,sub05,70,-0.14333410694852708
Visual,sub05,71,0.0623338973889914
Visual,sub05,72,0.05160738518787964
Visual,sub05,73,-0.2077634951427904
Visual,sub05,74,-0.3191779581589917
Visual,sub05,75,-0.6143749307948476
Visual,sub05,76,-0.16980543890034552
Visual,sub05,77,0.3340861446987368
Visual,sub05,78,0.26630766062046896
Visual,sub05,79,-0.1003339019041479
Visual,sub05,80,0.06967178170467521
Visual,sub05,81,0.3406574342015186
Visual,sub06,0,0.2653740263575538
Visual,sub06,1,-0.23811527615237585
Visual,sub06,2,-0.16464511340348822
Visual,sub06,3,-0.23800252888724657
Visual,sub06,4,0.0011890926869662422
Visual,sub06,5,0.2642384142513859
Visual,sub06,6,0.12418816497407596
Visual,sub06,7,-0.32403929022639927
Visual,sub06,8,0.06165913157453823
Visual,sub06,9,-0.2521177909425872
Visual,sub06,10,0.26609249326460804
Visual,sub06,11,0.2538430359598793
Visual,sub06,12,-0.14966251631999253
Visual,sub06,13,0.2269543860130347
Visual,sub06,14,0.1830681595336322
Visual,sub06,15,0.024442870730787852
Visual,sub06,16,-0.2559978272560521
